Family,Guild,Guild2
(Zygoptera) ,other predators,other predators
Andrenidae,bees,bees
Anthocoridae,predatory bugs,butterflies
Anthomyiidae,other flies,flies
Aphididae,sap feeders,sap feeders
Apidae,bees,bees
Argidae,other herbivores,other herbivores
Asilidae,predatory flies,flies
Attevidae,other herbivores,other herbivores
Bombyliidae,predatory flies,flies
Braconidae,predatory wasps,wasps
Calliphoridae,other flies,flies
Cantharidae,flower visiting beetles,flower visiting beetles
Cecidomyiidae,other flies,flies
Cercopidae,sap feeders,sap feeders
Chalcidoidea,predatory wasps,wasps
Chironomidae,other flies,flies
Chloropidae,other herbivores,other herbivores
Chrysididae,predatory wasps,wasps
Chrysomelidae,other herbivores,other herbivores
Cicadellidae,sap feeders,sap feeders
Crabronidae,predatory wasps,wasps
Curculionidae,other herbivores,other herbivores
Cydnidae,sap feeders,sap feeders
Cynipoidea,predatory wasps,wasps
Dolichopodidae,predatory flies,flies
Drosophilidae,other flies,flies
Empididae,other flies,flies
Ephydridae,other flies,flies
Formicidae,ants,ants
Geocoridae,predatory bugs,predatory bugs
Gryllotalpidae,turf pests,turf pests
Halictidae,bees,bees
Hesperiidae,butterflies,butterflies
Ichneumonidae,predatory wasps,wasps
Kateretidae,flower visiting beetles,flower visiting beetles
Libellulidae,other predators,other predators
Lonchaeidae,other flies,flies
Lycaenidae,butterflies,butterflies
Lygaeidae,other herbivores,other herbivores
Megachilidae,bees,bees
Membracidae,sap feeders,sap feeders
Micropezidae,other flies,flies
Miridae,sap feeders,sap feeders
Mordellidae,flower visiting beetles,flower visiting beetles
Muscidae,other flies,flies
Mutillidae,predatory wasps,wasps
Nabidae,predatory bugs,predatory bugs
Nitidulidae,other beetles,other beetles
Nymphalidae,butterflies,butterflies
Orsodacnidae,other herbivores,other herbivores
Papilionidae,butterflies,butterflies
Pentatomidae,sap feeders,sap feeders
Phoridae,other flies,flies
Pieridae,butterflies,butterflies
Pompilidae,predatory wasps,wasps
Proctotrupoidea,predatory wasps,wasps
Reduviidae,predatory bugs,predatory bugs
Rhyparochromidae,other herbivores,other herbivores
Sarcophagidae,predatory flies,flies
Scarabaeidae,turf pests,turf pests
Scelionidae,predatory wasps,wasps
Sciaridae,other flies,flies
Scoliidae,predatory wasps,wasps
Sphecidae,predatory wasps,wasps
Sphingidae,other herbivores,other herbivores
Stratiomyidae,other flies,flies
Syrphidae,predatory flies,flies
Tachinidae,predatory flies,flies
Tephritidae,other flies,flies
Thynnidae,predatory wasps,wasps
Thyreocoridae,other herbivores,other herbivores
Thysanoptera,other herbivores,other herbivores
Tingidae,other herbivores,other herbivores
Tiphiidae,predatory wasps,wasps
unknown,unknown,unknown
Vespidae,predatory wasps,wasps
Zygaenidae,other herbivores,other herbivores
